,PCA 1,PCA 3,IPCA 1,IPCA 3,IPCA 5
SMALL LoPRIOR,-0.88,-0.36,-0.88,-0.27,-0.22
ME1 PRIOR2,-0.03,0.09,-0.1,0.17,0.07
ME1 PRIOR3,0.22,0.19,0.17,0.16,0.01
ME1 PRIOR4,0.39,0.23,0.34,0.08,-0.04
SMALL HiPRIOR,0.51,0.15,0.51,-0.03,0.01
ME2 PRIOR1,-0.7,-0.23,-0.66,-0.12,-0.02
ME2 PRIOR2,0.0,0.11,-0.03,0.2,0.17
ME2 PRIOR3,0.25,0.15,0.21,0.17,0.1
ME2 PRIOR4,0.35,0.14,0.33,0.05,-0.0
ME2 PRIOR5,0.45,-0.04,0.45,-0.06,0.05
ME3 PRIOR1,-0.53,-0.04,-0.48,-0.01,0.08
ME3 PRIOR2,-0.05,0.05,-0.06,0.13,0.11
ME3 PRIOR3,0.14,0.08,0.14,0.08,0.0
ME3 PRIOR4,0.2,-0.04,0.19,-0.09,-0.15
ME3 PRIOR5,0.43,-0.11,0.42,-0.07,0.02
ME4 PRIOR1,-0.54,-0.01,-0.46,-0.05,0.08
ME4 PRIOR2,0.04,0.15,0.04,0.2,0.21
ME4 PRIOR3,0.16,0.07,0.16,0.06,0.0
ME4 PRIOR4,0.28,0.01,0.27,-0.03,-0.08
ME4 PRIOR5,0.36,-0.22,0.35,-0.13,-0.06
BIG LoPRIOR,-0.42,0.02,-0.39,-0.04,0.07
ME5 PRIOR2,0.07,0.21,0.05,0.16,0.11
ME5 PRIOR3,0.06,-0.05,0.04,-0.07,-0.17
ME5 PRIOR4,0.21,-0.11,0.16,-0.15,-0.21
BIG HiPRIOR,0.34,-0.24,0.29,-0.16,-0.14
Total R2 (%),81.75,93.12,81.94,92.24,94.13
Predictive R2 (%),1.2,1.51,1.25,1.55,1.52
Mean |alpha| (%),0.3,0.12,0.29,0.11,0.09
