date,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR,Mkt-RF,SMB,RF,Mom,SMALL LoPRIOR_excess,ME1 PRIOR2_excess,ME1 PRIOR3_excess,ME1 PRIOR4_excess,SMALL HiPRIOR_excess,ME2 PRIOR1_excess,ME2 PRIOR2_excess,ME2 PRIOR3_excess,ME2 PRIOR4_excess,ME2 PRIOR5_excess,ME3 PRIOR1_excess,ME3 PRIOR2_excess,ME3 PRIOR3_excess,ME3 PRIOR4_excess,ME3 PRIOR5_excess,ME4 PRIOR1_excess,ME4 PRIOR2_excess,ME4 PRIOR3_excess,ME4 PRIOR4_excess,ME4 PRIOR5_excess,BIG LoPRIOR_excess,ME5 PRIOR2_excess,ME5 PRIOR3_excess,ME5 PRIOR4_excess,BIG HiPRIOR_excess
197208,0.85,0.08,0.24,0.48,-1.28,4.85,1.3,0.68,1.32,-2.0,6.36,3.27,3.12,-0.23,0.99,4.35,4.89,3.49,3.88,0.63,10.83,8.14,7.42,1.43,0.51,3.27,-3.99,0.29,-5.36,0.56,-0.20999999999999996,-0.04999999999999999,0.19,-1.57,4.56,1.01,0.39000000000000007,1.03,-2.29,6.07,2.98,2.83,-0.52,0.7,4.06,4.6,3.2,3.59,0.34,10.540000000000001,7.8500000000000005,7.13,1.14,0.22000000000000003
197209,-5.86,-3.18,-3.47,-3.97,-4.09,-4.8,-1.02,-3.08,-3.18,-2.18,-3.54,-2.59,-1.67,-1.69,-1.34,-4.89,-0.8,-2.03,-2.18,-2.03,-2.1,-1.25,0.59,-1.19,0.63,-1.14,-2.66,0.34,1.82,-6.2,-3.52,-3.81,-4.3100000000000005,-4.43,-5.14,-1.36,-3.42,-3.52,-2.52,-3.88,-2.9299999999999997,-2.01,-2.03,-1.6800000000000002,-5.2299999999999995,-1.1400000000000001,-2.3699999999999997,-2.52,-2.3699999999999997,-2.44,-1.59,0.24999999999999994,-1.53,0.29
197210,-3.04,-1.8,-2.6,-1.97,-3.6,-0.66,-0.45,-0.36,-1.92,1.13,-7.02,1.1,0.0,0.89,0.0,0.15,0.62,1.27,-0.14,-0.63,0.7,0.23,2.18,2.17,0.85,0.52,-2.73,0.4,0.7,-3.44,-2.2,-3.0,-2.37,-4.0,-1.06,-0.8500000000000001,-0.76,-2.32,0.7299999999999999,-7.42,0.7000000000000001,-0.4,0.49,-0.4,-0.25,0.21999999999999997,0.87,-0.54,-1.03,0.29999999999999993,-0.17,1.7800000000000002,1.77,0.44999999999999996
197211,5.83,5.27,4.49,5.1,3.8,4.93,7.1,2.54,5.11,6.35,13.28,7.52,7.63,3.76,2.85,10.07,9.59,7.46,5.6,5.85,8.45,8.28,8.81,4.35,1.25,4.6,-1.18,0.37,-5.08,5.46,4.8999999999999995,4.12,4.7299999999999995,3.4299999999999997,4.56,6.7299999999999995,2.17,4.74,5.9799999999999995,12.91,7.1499999999999995,7.26,3.3899999999999997,2.48,9.700000000000001,9.22,7.09,5.2299999999999995,5.4799999999999995,8.08,7.909999999999999,8.440000000000001,3.9799999999999995,0.88
197212,-5.85,-2.27,-2.16,-0.89,-0.17,-5.0,-3.16,-0.81,-2.04,1.19,-2.64,-1.45,-0.62,1.99,1.29,-3.64,-2.46,-2.0,-0.19,0.54,-2.99,-1.15,-0.42,1.96,4.32,0.62,-1.95,0.37,4.95,-6.22,-2.64,-2.5300000000000002,-1.26,-0.54,-5.37,-3.5300000000000002,-1.1800000000000002,-2.41,0.82,-3.0100000000000002,-1.8199999999999998,-0.99,1.62,0.92,-4.01,-2.83,-2.37,-0.56,0.17000000000000004,-3.3600000000000003,-1.52,-0.79,1.5899999999999999,3.95
197301,-4.85,-2.89,-3.51,-4.08,-4.02,-8.0,-3.48,-4.85,-6.04,-6.68,-9.07,-7.62,-5.64,-4.77,-5.35,-9.63,-7.36,-5.09,-6.31,-3.83,-11.86,-5.13,-4.72,0.98,-1.36,-3.27,-3.49,0.44,3.82,-5.29,-3.33,-3.9499999999999997,-4.5200000000000005,-4.46,-8.44,-3.92,-5.29,-6.48,-7.12,-9.51,-8.06,-6.08,-5.21,-5.79,-10.07,-7.800000000000001,-5.53,-6.75,-4.2700000000000005,-12.299999999999999,-5.57,-5.16,0.54,-1.8
197302,-9.26,-7.69,-7.34,-6.62,-9.38,-7.91,-8.48,-5.91,-7.44,-11.35,-11.13,-7.67,-5.38,-8.25,-8.87,-8.38,-5.98,-5.03,-5.5,-5.99,-8.83,-5.1,-4.1,-2.85,-3.32,-4.85,-3.89,0.42,2.18,-9.68,-8.110000000000001,-7.76,-7.04,-9.8,-8.33,-8.9,-6.33,-7.86,-11.77,-11.55,-8.09,-5.8,-8.67,-9.29,-8.8,-6.4,-5.45,-5.92,-6.41,-9.25,-5.52,-4.52,-3.27,-3.7399999999999998
197303,-4.84,-1.76,-3.29,-1.79,0.76,-4.84,-2.76,-3.33,-3.15,-0.17,-4.52,-4.49,-2.68,-2.47,-0.32,-3.19,-1.68,-3.69,-2.58,-1.14,0.15,-3.88,-0.23,-1.65,0.92,-1.3,-2.78,0.46,3.55,-5.3,-2.22,-3.75,-2.25,0.3,-5.3,-3.2199999999999998,-3.79,-3.61,-0.63,-4.9799999999999995,-4.95,-3.14,-2.93,-0.78,-3.65,-2.14,-4.15,-3.04,-1.5999999999999999,-0.31000000000000005,-4.34,-0.6900000000000001,-2.11,0.46
197304,-11.18,-6.96,-5.92,-4.56,-4.06,-13.42,-7.96,-5.61,-2.28,-6.77,-11.7,-8.14,-8.02,-3.33,-4.16,-12.05,-8.92,-7.28,-4.18,-3.47,-13.52,-8.73,-4.31,-3.34,-3.78,-5.68,-3.84,0.52,6.35,-11.7,-7.48,-6.4399999999999995,-5.08,-4.58,-13.94,-8.48,-6.130000000000001,-2.8,-7.289999999999999,-12.219999999999999,-8.66,-8.54,-3.85,-4.68,-12.57,-9.44,-7.800000000000001,-4.699999999999999,-3.99,-14.04,-9.25,-4.83,-3.86,-4.3
197305,-12.41,-10.72,-8.06,-6.46,-8.14,-9.47,-10.44,-8.36,-6.58,-5.29,-10.77,-9.2,-7.78,-6.25,-4.68,-13.26,-9.1,-5.43,-3.8,-3.26,-6.99,-4.72,-2.01,-0.7,-0.38,-2.97,-6.27,0.51,7.18,-12.92,-11.23,-8.57,-6.97,-8.65,-9.98,-10.95,-8.87,-7.09,-5.8,-11.28,-9.709999999999999,-8.290000000000001,-6.76,-5.1899999999999995,-13.77,-9.61,-5.9399999999999995,-4.31,-3.7699999999999996,-7.5,-5.2299999999999995,-2.5199999999999996,-1.21,-0.89
